|region        |stat          |zkratka_meny|rok  |HDP                    |HDP_predchozi_rok      |mezirocni_zmena_HDP_abs|mezirocni_zmena_HDP_procentni|trend_HDP               |odvetvi                                                     |prumerny_plat |prumerny_plat_predchozi_rok|mezirocni_zmena_platu_abs|mezirocni_zmena_platu_procentne|trend_platu            |potravina                  |prumerna_cena|prumerna_cena_predchozi_rok|mezirocni_zmena_cen_abs|mezirocni_zmena_cen_procentne|trend_cen                     |
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Administrativní a podpůrné činnosti                         |14,117.00,- Kč|13,414.00,- Kč             |703.00,- Kč              |5.24 %                         |Růst platů o 5 a více %|Banány žluté               |30.85,- Kč   |27.30,- Kč                 |3.55,- Kč              |13.00 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá      |24.97,- Kč   |23.49,- Kč                 |1.48,- Kč              |6.30 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Rýže loupaná dlouhozrnná   |23.86,- Kč   |21.29,- Kč                 |2.57,- Kč              |12.07 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Pšeničná mouka hladká      |9.08,- Kč    |7.41,- Kč                  |1.67,- Kč              |22.54 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Pomeranče                  |30.23,- Kč   |24.73,- Kč                 |5.50,- Kč              |22.24 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Pečivo pšeničné bílé       |44.04,- Kč   |38.60,- Kč                 |5.44,- Kč              |14.09 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Papriky                    |68.79,- Kč   |35.31,- Kč                 |33.48,- Kč             |94.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Mléko polotučné pasterované|15.59,- Kč   |14.44,- Kč                 |1.15,- Kč              |7.96 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Máslo                      |115.78,- Kč  |104.39,- Kč                |11.39,- Kč             |10.91 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Kuřata kuchaná celá        |53.61,- Kč   |47.47,- Kč                 |6.14,- Kč              |12.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Konzumní brambory          |14.10,- Kč   |12.07,- Kč                 |2.03,- Kč              |16.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Kapr živý                  |78.97,- Kč   |69.35,- Kč                 |9.62,- Kč              |13.87 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Chléb konzumní kmínový     |18.85,- Kč   |16.12,- Kč                 |2.73,- Kč              |16.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Eidamská cihla             |122.68,- Kč  |110.95,- Kč                |11.73,- Kč             |10.57 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Činnosti v oblasti nemovitostí                              |18,994.50,- Kč|17,550.75,- Kč             |1,443.75,- Kč            |8.23 %                         |Růst platů o 5 a více %|Banány žluté               |30.85,- Kč   |27.30,- Kč                 |3.55,- Kč              |13.00 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá      |24.97,- Kč   |23.49,- Kč                 |1.48,- Kč              |6.30 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Rýže loupaná dlouhozrnná   |23.86,- Kč   |21.29,- Kč                 |2.57,- Kč              |12.07 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Pšeničná mouka hladká      |9.08,- Kč    |7.41,- Kč                  |1.67,- Kč              |22.54 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Pomeranče                  |30.23,- Kč   |24.73,- Kč                 |5.50,- Kč              |22.24 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Pečivo pšeničné bílé       |44.04,- Kč   |38.60,- Kč                 |5.44,- Kč              |14.09 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Papriky                    |68.79,- Kč   |35.31,- Kč                 |33.48,- Kč             |94.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Mléko polotučné pasterované|15.59,- Kč   |14.44,- Kč                 |1.15,- Kč              |7.96 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Máslo                      |115.78,- Kč  |104.39,- Kč                |11.39,- Kč             |10.91 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Kuřata kuchaná celá        |53.61,- Kč   |47.47,- Kč                 |6.14,- Kč              |12.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Konzumní brambory          |14.10,- Kč   |12.07,- Kč                 |2.03,- Kč              |16.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Kapr živý                  |78.97,- Kč   |69.35,- Kč                 |9.62,- Kč              |13.87 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Chléb konzumní kmínový     |18.85,- Kč   |16.12,- Kč                 |2.73,- Kč              |16.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Eidamská cihla             |122.68,- Kč  |110.95,- Kč                |11.73,- Kč             |10.57 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |20,394.00,- Kč|18,993.75,- Kč             |1,400.25,- Kč            |7.37 %                         |Růst platů o 5 a více %|Banány žluté               |30.85,- Kč   |27.30,- Kč                 |3.55,- Kč              |13.00 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá      |24.97,- Kč   |23.49,- Kč                 |1.48,- Kč              |6.30 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Rýže loupaná dlouhozrnná   |23.86,- Kč   |21.29,- Kč                 |2.57,- Kč              |12.07 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Pšeničná mouka hladká      |9.08,- Kč    |7.41,- Kč                  |1.67,- Kč              |22.54 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Pomeranče                  |30.23,- Kč   |24.73,- Kč                 |5.50,- Kč              |22.24 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Pečivo pšeničné bílé       |44.04,- Kč   |38.60,- Kč                 |5.44,- Kč              |14.09 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Papriky                    |68.79,- Kč   |35.31,- Kč                 |33.48,- Kč             |94.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Mléko polotučné pasterované|15.59,- Kč   |14.44,- Kč                 |1.15,- Kč              |7.96 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Máslo                      |115.78,- Kč  |104.39,- Kč                |11.39,- Kč             |10.91 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Kuřata kuchaná celá        |53.61,- Kč   |47.47,- Kč                 |6.14,- Kč              |12.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Konzumní brambory          |14.10,- Kč   |12.07,- Kč                 |2.03,- Kč              |16.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Kapr živý                  |78.97,- Kč   |69.35,- Kč                 |9.62,- Kč              |13.87 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Chléb konzumní kmínový     |18.85,- Kč   |16.12,- Kč                 |2.73,- Kč              |16.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Eidamská cihla             |122.68,- Kč  |110.95,- Kč                |11.73,- Kč             |10.57 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |37,204.00,- Kč|34,942.00,- Kč             |2,262.00,- Kč            |6.47 %                         |Růst platů o 5 a více %|Banány žluté               |30.85,- Kč   |27.30,- Kč                 |3.55,- Kč              |13.00 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Kulturní, zábavní a rekreační činnosti                      |16,473.00,- Kč|15,477.50,- Kč             |995.50,- Kč              |6.43 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá      |24.97,- Kč   |23.49,- Kč                 |1.48,- Kč              |6.30 %                       |Růst cen potravin o 5 a více %|
